name,title,company,location,linkedin_url,twitter,google_scholar,github,personal_website,about,current_role,total_publications,total_patents,source_query
Amelia Chen,Research Scientist - Foundation Models,OpenAI,"San Francisco, California",https://www.linkedin.com/in/ameliachen-ai,,https://scholar.google.com/citations?user=ameliachen,,https://ameliachen.ai,"Works on multimodal large language models and alignment for enterprise copilots.",Lead Research Scientist,18,2,ai foundation model researchers
Noah Patel,Head of Research - Robust RL,Anthropic,"New York, New York",https://www.linkedin.com/in/noahpatel,,https://scholar.google.com/citations?user=noahpatel,,https://noahpatel.com,"Builds scalable reinforcement learning pipelines for Claude reliability.",Director of RL Research,24,1,reinforcement learning researchers
Lena Hoffmann,Senior Scientist - AI Safety,xAI,"Palo Alto, California",https://www.linkedin.com/in/lenahoffmann,,https://scholar.google.com/citations?user=lenahoffmann,,https://lenahoffmann.ai,"Focuses on interpretability tooling for Grok safety evaluations.",Senior AI Safety Scientist,12,0,ai safety experts
Gabriel Ruiz,Applied Scientist - Reasoning Systems,DeepMind,"London, United Kingdom",https://www.linkedin.com/in/gabrielruiz,,https://scholar.google.com/citations?user=gabrielruiz,,https://ruizlab.io,"Researches long-context reasoning and toolformer agents for Gemini.",Staff Research Scientist,30,3,reasoning systems researchers
Priya Narayanan,Principal Research Engineer,Google Research,"Seattle, Washington",https://www.linkedin.com/in/priya-narayanan,,https://scholar.google.com/citations?user=priyan,,https://priyanarayanan.dev,"Ship large-scale vector databases and retrieval infra for AI products.",Principal Research Engineer,15,0,industrial ai infrastructure leads
Mateo Alvarez,Director of Generative Audio Research,Meta FAIR,"Los Angeles, California",https://www.linkedin.com/in/mateo-alvarez,,https://scholar.google.com/citations?user=mateoalvarez,,https://mateo.audio,"Builds diffusion and transformer models for music and speech generation.",Director of Audio Research,28,4,generative audio researchers
Sophia Wright,Staff Scientist - Robotics Learning,Boston Dynamics AI Institute,"Boston, Massachusetts",https://www.linkedin.com/in/sophiawright,,https://scholar.google.com/citations?user=sophiawright,,https://sophiawright.ai,"Teaches humanoids dexterous manipulation with sim-to-real policies.",Staff Robotics Scientist,22,6,robotics learning scientists
Ibrahim Al-Karim,Lead Scientist - Knowledge Graphs,Microsoft Research,"Cambridge, Massachusetts",https://www.linkedin.com/in/ibrahimalkarim,,https://scholar.google.com/citations?user=ibrahimalkarim,,https://ibrahimalkarim.com,"Links enterprise data to copilots with structured reasoning agents.",Lead Applied Scientist,17,0,knowledge graph researchers
Maria Rossi,Research Scientist - Trustworthy AI,IBM Research,"Zurich, Switzerland",https://www.linkedin.com/in/mariarossi,,https://scholar.google.com/citations?user=mariarossi,,https://mariarossi.ai,"Designs eval suites for fairness, privacy, and governance of AI platforms.",Research Scientist,19,2,trustworthy ai scientists
Kenji Sato,Senior Scientist - Edge AI,Samsung Research,"Seoul, South Korea",https://www.linkedin.com/in/kenjisato,,https://scholar.google.com/citations?user=kenjisato,,https://kenjisato.dev,"Optimizes tiny transformer models for on-device assistants.",Senior Edge AI Scientist,21,5,edge ai researchers
Ivy Thompson,AI Research Lead - Healthcare,NVIDIA,"Austin, Texas",https://www.linkedin.com/in/ivythompson,,https://scholar.google.com/citations?user=ivythompson,,https://ivythompson.ai,"Applies generative models to radiology and protein design workflows.",AI Research Lead,25,1,healthcare ai researchers
Rafael Mendes,Staff Scientist - Autonomous Systems,Waymo,"Mountain View, California",https://www.linkedin.com/in/rafaelmendes,,https://scholar.google.com/citations?user=rafaelmendes,,https://rafaelmendes.ai,"Improves predicting agents and planning stacks for fully driverless fleets.",Staff Autonomous Systems Scientist,27,8,autonomous vehicle researchers
